y_test,NASNetMobile_224x224_lightaug,NASNetLarge_224x224_noaug,InceptionResNetV2_224x224_lightaug,NASNetMobile_96x96_lightaug,NASNetMobile_224x224_noaug,ResNet50_224x224_noaug,InceptionResNetV2_96x96_lightaug,DenseNet121_96x96_lightaug,NASNetLarge_224x224_lightaug,ResNet50_224x224_lightaug,DenseNet121_224x224_lightaug,InceptionResNetV2_224x224_noaug,ResNet50_96x96_lightaug,DenseNet121_224x224_noaug
0,0.0017406474,3.0445617e-05,0.00036092053,0.0002129261,6.2427286e-22,0.07858738,0.010127275,0.014428066,2.5992502e-15,0.011391636,0.033128127,3.1290052e-05,0.19785479,0.004788539
0,0.0005069709,3.7539165e-05,0.00032094904,3.5649623e-06,2.3374284e-17,0.008622401,0.009219706,0.0106303515,2.4676641e-20,0.01104122,0.0059793405,0.00026515874,0.39268938,0.0012184376
0,0.0006079429,0.00019251586,0.00042784362,9.0984695e-06,1.9382216e-13,0.09032594,0.0077045443,0.0081189005,7.938644e-16,0.03333972,0.023958454,4.3894906e-05,0.056830306,0.0105186
0,2.141129e-05,0.00010375829,3.623943e-05,1.6901764e-09,5.1558063e-26,0.0015877245,0.0012451588,0.014106403,1.7243331e-14,0.009191019,0.0039156084,3.3111212e-06,0.0031902562,0.0011105642
0,7.3530806e-05,2.5454674e-05,0.004065189,6.3996245e-06,4.1567857e-18,0.06823782,0.057233267,0.043851674,7.129673e-08,0.32506025,0.038927212,4.022713e-05,0.012360992,0.011081358
0,0.0007523983,0.0001758438,0.00047651067,4.9245045e-06,9.62184e-20,0.006569655,0.0038219646,0.022883859,2.0431796e-09,0.014452872,0.004582519,7.947969e-06,0.043376222,0.0037653726
0,0.0042956374,0.12762463,0.00030497272,0.00014670144,5.3182975e-24,0.025471786,0.04683162,0.040266242,1.655228e-11,0.00030733374,1.6532747e-05,2.6916267e-05,0.009713516,0.0029964705
0,0.002251768,7.371742e-05,0.00070453016,4.040025e-09,9.517705e-17,0.0010454939,0.032610547,0.013085414,1.0151837e-12,0.0003812661,0.0022595162,1.0888074e-05,0.025500653,0.002312405
0,0.00037657164,0.00092531386,0.00065382425,4.172729e-06,8.730593e-20,0.004934694,0.14250682,0.032881618,1.3276167e-13,0.0023696383,8.420054e-05,5.382146e-05,0.01394096,0.0033013017
0,9.894482e-07,0.0074751913,2.411321e-05,6.788994e-14,1.18090206e-23,0.00035544724,0.0027213485,0.0016991865,3.848638e-26,0.0002586579,7.5855705e-06,2.5349477e-06,0.0045638406,0.00038352914
0,3.5766122e-06,0.0003822651,4.4145898e-05,8.145814e-14,9.3340754e-14,0.00047511395,0.03422023,0.0005963226,1.4344274e-18,0.008098659,6.235569e-05,0.00010742063,0.014462539,0.00026890758
0,1.9425757e-07,0.0001620702,9.6875476e-05,1.9847368e-14,3.978482e-17,8.7924054e-05,0.0031774337,0.0006643897,7.2074474e-26,0.00012277067,6.9229677e-06,4.433229e-06,0.0016698494,0.00014928565
0,0.0010751795,0.00014115768,0.021383861,3.716485e-07,8.431869e-07,0.014381125,0.046942204,0.26365054,2.3435997e-12,0.5172421,0.0026954901,0.0008089184,0.04469406,0.010694989
0,0.0011498969,2.638576e-05,0.0008062207,5.4185404e-07,4.554e-16,0.0111198155,0.0060801497,0.0053125885,5.591722e-14,0.002033007,0.002248489,0.00011608239,0.023480725,0.006644278
0,0.0026604938,7.904504e-05,0.0025114303,4.4425593e-05,4.9364808e-06,0.014348019,0.068470925,0.071002945,4.1072334e-16,0.12356024,0.0033943953,7.148456e-05,0.018322121,0.008374785
0,1.846672e-05,4.241158e-05,0.0011494948,0.00082806335,9.260099e-13,0.0039199367,0.005635313,0.09866807,8.956282e-13,0.0057116235,0.0027883956,0.0012459303,0.53130025,0.0020956572
0,0.0011906548,0.00024292253,0.0008490491,0.0014233387,5.433506e-12,0.0064766672,0.069828704,0.016920764,1.0179802e-11,0.35180327,0.00240109,0.0027676192,0.23943229,0.010181271
0,0.0001530347,0.00087321084,0.0023775853,0.25200668,3.3001515e-14,0.0015656882,0.012762576,0.020028621,4.37606e-11,0.03258245,0.0011997639,0.003937333,0.34680063,0.0033430213
